0 0   0.563585 0.808741 
0 20   0.805884 -0.395511 
0 21   0.808831 -0.398201 
0 22   0.781632 -0.174573 
0 23   0.840895 -0.042797 
0 24   0.84133 -0.0405251 
0 25   0.841357 -0.0405129 
0 26   0.841337 -0.0405383 
0 27   0.843479 0.0512077 
0 28   0.844625 0.0570024 
0 29   0.844015 0.0568369 
1 0   0.572874 0.266548 
1 1   0.574243 0.266183 
1 2   0.566588 0.259427 
1 3   0.535735 0.159625 
1 4   0.513467 0.134268 
1 5   0.513409 0.134176 
1 6   0.488788 0.0939453 
1 7   0.353967 -0.138399 
1 8   0.341913 -0.166634 
1 9   0.305031 -0.247588 
1 10   0.329405 -0.225119 
1 11   0.708598 -0.670488 
1 12   0.708602 -0.670482 
1 13   0.70859 -0.67168 
1 14   0.694192 -0.678011 
1 15   0.791247 -0.781268 
1 16   0.811702 -0.783625 
1 17   0.812859 -0.783127 
1 18   0.812866 -0.783127 
1 19   0.810099 -0.448747 
1 20   0.814095 -0.445326 
1 21   0.814817 -0.44613 
1 22   0.644377 -0.340408 
1 23   0.765413 -0.137392 
1 24   0.765466 -0.137067 
1 25   0.765465 -0.137067 
1 26   0.763831 -0.0807217 
1 27   0.76489 -0.0351776 
1 28   0.765499 -0.0330506 
1 29   0.765476 -0.0331822 
2 0   0.573651 0.264721 
2 1   0.572579 0.264318 
2 2   0.566631 0.259088 
2 3   0.535675 0.159571 
2 4   0.513451 0.134245 
2 5   0.513425 0.134153 
2 6   0.48886 0.0938876 
2 7   0.354097 -0.138678 
2 8   0.342054 -0.166788 
2 9   0.304919 -0.247494 
2 10   0.329421 -0.225139 
2 11   0.75619 -0.751134 
2 12   0.75619 -0.751133 
2 13   0.756186 -0.751744 
2 14   0.748511 -0.759071 
2 15   0.797217 -0.808543 
2 16   0.807574 -0.808708 
2 17   0.771215 -0.81014 
2 18   0.771215 -0.81014 
2 19   0.788478 -0.463015 
2 20   0.789429 -0.462221 
2 21   0.789514 -0.462544 
2 22   0.560953 -0.379381 
2 23   0.723532 -0.157388 
2 24   0.72355 -0.1573 
2 25   0.72366 -0.157079 
2 26   0.722807 -0.128953 
2 27   0.723279 -0.106235 
2 28   0.765478 -0.0332499 
2 29   0.765458 -0.0333141 
3 0   0.573429 0.263577 
3 1   0.532386 0.239656 
3 2   0.529015 0.237135 
3 3   0.516806 0.148366 
3 4   0.505056 0.129811 
3 5   0.50503 0.129773 
3 6   0.483689 0.0904517 
3 7   0.344609 -0.144388 
3 8   0.337807 -0.16867 
3 9   0.300827 -0.249435 
3 10   0.327356 -0.226082 
3 11   0.755927 -0.751245 
3 12   0.756189 -0.751135 
3 13   0.756184 -0.751746 
3 14   0.737766 -0.77533 
3 15   0.794217 -0.811996 
3 16   0.806067 -0.810434 
3 17   0.770292 -0.811203 
3 18   0.770292 -0.811203 
3 19   0.787904 -0.463711 
3 20   0.78838 -0.463314 
3 21   0.788422 -0.463476 
3 22   0.556429 -0.383427 
3 23   0.720853 -0.160132 
3 24   0.720863 -0.160087 
3 25   0.723657 -0.157082 
3 26   0.722793 -0.128965 
3 27   0.723248 -0.106252 
3 28   0.765212 -0.0337162 
3 29   0.765211 -0.033737 
4 0   0.552506 0.271248 
4 1   0.53328 0.259047 
4 2   0.532423 0.257842 
4 3   0.518492 0.158795 
4 4   0.512834 0.149436 
4 5   0.51283 0.149424 
4 6   0.483697 0.090464 
4 7   0.344608 -0.144405 
4 8   0.337797 -0.168681 
4 9   0.300813 -0.249425 
4 10   0.327342 -0.226069 
4 11   0.755927 -0.751246 
4 12   0.756189 -0.751134 
4 13   0.756184 -0.751746 
4 14   0.737765 -0.77533 
4 15   0.794217 -0.811996 
4 16   0.806067 -0.810434 
4 17   0.770292 -0.811203 
4 18   0.770292 -0.811203 
4 19   0.787904 -0.463711 
4 20   0.78838 -0.463314 
4 21   0.788422 -0.463476 
4 22   0.556429 -0.383427 
4 23   0.720853 -0.160132 
4 24   0.720863 -0.160087 
4 25   0.723657 -0.157082 
4 26   0.722793 -0.128966 
4 27   0.723248 -0.106252 
4 28   0.765175 -0.0337629 
4 29   0.765172 -0.0337684 
5 0   0.552341 0.271336 
5 1   0.533259 0.258918 
5 2   0.532398 0.257818 
5 3   0.518489 0.158782 
5 4   0.512834 0.149433 
5 5   0.512829 0.149424 
5 6   0.483691 0.0904494 
5 7   0.344554 -0.144441 
5 8   0.337785 -0.168695 
5 9   0.30081 -0.249435 
5 10   0.327335 -0.226111 
5 11   0.755927 -0.751246 
5 12   0.75619 -0.751136 
5 13   0.756185 -0.751747 
5 14   0.737765 -0.775331 
5 15   0.794217 -0.811996 
5 16   0.806067 -0.810434 
5 17   0.770292 -0.811203 
5 18   0.770292 -0.811203 
5 19   0.787904 -0.463711 
5 20   0.78838 -0.463314 
5 21   0.788422 -0.463476 
5 22   0.556429 -0.383427 
5 23   0.720853 -0.160132 
5 24   0.720863 -0.160087 
5 25   0.723657 -0.157082 
5 26   0.722793 -0.128966 
5 27   0.723248 -0.106252 
5 28   0.765176 -0.0337652 
5 29   0.765175 -0.0337693 
6 0   0.472032 0.218174 
6 1   0.244128 0.0235258 
6 2   0.244036 0.0233821 
6 3   0.315538 -0.0906134 
6 4   0.310393 -0.100131 
6 5   0.310384 -0.100148 
6 6   0.26863 -0.166481 
6 7   0.263691 -0.172054 
6 8   0.269521 -0.178097 
6 9   0.244207 -0.221272 
6 10   0.244192 -0.22132 
6 11   0.745535 -0.750647 
6 12   0.748925 -0.756725 
6 13   0.749541 -0.756928 
6 14   0.73132 -0.78037 
6 15   0.792489 -0.813418 
6 16   0.80521 -0.811145 
6 17   0.769714 -0.811777 
6 18   0.769715 -0.811777 
6 19   0.78776 -0.463864 
6 20   0.769057 -0.468454 
6 21   0.769057 -0.468454 
6 22   0.479052 -0.403295 
6 23   0.479455 -0.40258 
6 24   0.479454 -0.402634 
6 25   0.482263 -0.400011 
6 26   0.480608 -0.374829 
6 27   0.479859 -0.356317 
6 28   0.480785 -0.293031 
6 29   0.482685 -0.291387 
7 0   0.471888 0.218297 
7 1   0.24406 0.023593 
7 2   0.243985 0.0234254 
7 3   0.315618 -0.0906205 
7 4   0.310394 -0.100121 
7 5   0.310383 -0.100158 
7 6   0.259479 -0.173689 
7 7   0.258263 -0.175022 
7 8   0.259694 -0.176502 
7 9   0.239226 -0.22054 
7 10   0.239223 -0.22055 
7 11   0.68526 -0.713935 
7 12   0.690536 -0.72542 
7 13   0.690537 -0.725421 
7 14   0.654326 -0.769545 
7 15   0.773428 -0.841975 
7 16   0.802337 -0.836277 
7 17   0.733298 -0.837256 
7 18   0.733299 -0.837256 
7 19   0.733805 -0.836665 
7 20   0.658864 -0.854902 
7 21   0.658511 -0.854709 
7 22   0.147274 -0.693029 
7 23   0.147527 -0.692524 
7 24   0.147527 -0.692524 
7 25   0.146385 -0.691972 
7 26   0.124616 -0.654387 
7 27   0.0921513 -0.637984 
7 28   0.0296138 -0.554786 
7 29   0.031178 -0.552832 
8 0   0.469159 0.218316 
8 1   0.243477 0.0235759 
8 2   0.241227 0.0220374 
8 3   0.241203 0.0220585 
8 4   0.233026 0.00402991 
8 5   0.233015 0.00401371 
8 6   0.128668 -0.142867 
8 7   0.127888 -0.144426 
8 8   0.131945 -0.148109 
8 9   0.0913227 -0.236249 
8 10   0.0913131 -0.23627 
8 11   0.400766 -0.553299 
8 12   0.421805 -0.598954 
8 13   0.421873 -0.599391 
8 14   0.412841 -0.65665 
8 15   0.625905 -0.817633 
8 16   0.625902 -0.817636 
8 17   0.529305 -0.80583 
8 18   0.529308 -0.805831 
8 19   0.530319 -0.804649 
8 20   0.401178 -0.834243 
8 21   0.400339 -0.833741 
8 22   0.125843 -0.699415 
8 23   0.125844 -0.699414 
8 24   0.125844 -0.699414 
8 25   0.123568 -0.69877 
8 26   0.0511561 -0.652558 
8 27   0.0511818 -0.652527 
8 28   -0.051658 -0.586894 
8 29   -0.0508793 -0.585916 
9 0   0.441464 0.22627 
9 1   0.236544 0.0254725 
9 2   0.231815 0.0224606 
9 3   0.231739 0.0224015 
9 4   0.22818 0.00349096 
9 5   0.228169 0.00345631 
9 6   0.128669 -0.142865 
9 7   0.127879 -0.144429 
9 8   0.131948 -0.14811 
9 9   0.0913193 -0.236246 
9 10   0.0913133 -0.236269 
9 11   0.400766 -0.553299 
9 12   0.421805 -0.598955 
9 13   0.421873 -0.599391 
9 14   0.412841 -0.65665 
9 15   0.264047 -0.847032 
9 16   0.206118 -0.85076 
9 17   0.31906 -0.821902 
9 18   0.319062 -0.821902 
9 19   0.319312 -0.821606 
9 20   0.296025 -0.841941 
9 21   0.29583 -0.841819 
9 22   0.0217252 -0.707791 
9 23   0.0217254 -0.70779 
9 24   0.0217254 -0.70779 
9 25   0.0211487 -0.707626 
9 26   0.0107347 -0.674974 
9 27   0.0506354 -0.65224 
9 28   -0.0516574 -0.586895 
9 29   -0.0508814 -0.585914 
10 0   0.314954 0.401208 
10 1   0.217965 0.299448 
10 2   0.21749 0.299059 
10 3   0.217476 0.299049 
10 4   0.215728 0.288956 
10 5   0.215722 0.288946 
10 6   0.129306 -0.141413 
10 7   0.127893 -0.144411 
10 8   0.131944 -0.148097 
10 9   0.0913185 -0.23625 
10 10   0.091313 -0.236269 
10 11   0.400766 -0.553299 
10 12   0.421804 -0.598954 
10 13   0.421874 -0.59939 
10 14   0.412841 -0.65665 
10 15   0.264047 -0.847032 
10 16   0.206118 -0.85076 
10 17   0.31906 -0.821902 
10 18   0.319062 -0.821902 
10 19   -0.065503 -0.765807 
10 20   -0.0771191 -0.77604 
10 21   -0.0771788 -0.775842 
10 22   -0.214196 -0.708773 
10 23   -0.214196 -0.708773 
10 24   -0.214196 -0.708773 
10 25   -0.214526 -0.708733 
10 26   -0.221986 -0.695401 
10 27   -0.204337 -0.687092 
10 28   -0.25995 -0.65933 
10 29   -0.259231 -0.65833 
11 0   0.267568 0.440097 
11 1   0.187297 0.296503 
11 2   0.185433 0.294999 
11 3   0.185455 0.294933 
11 4   0.18864 0.271699 
11 5   0.188559 0.271535 
11 6   0.0859815 -0.174491 
11 7   0.0831869 -0.180518 
11 8   0.0918274 -0.186961 
11 9   0.0912968 -0.236284 
11 10   0.0912833 -0.23633 
11 11   0.40074 -0.55332 
11 12   0.421701 -0.599037 
11 13   0.421662 -0.599553 
11 14   0.412809 -0.656661 
11 15   0.264042 -0.847032 
11 16   0.206117 -0.85076 
11 17   0.31906 -0.821902 
11 18   -0.121835 -0.755032 
11 19   -0.314118 -0.726984 
11 20   -0.319927 -0.732101 
11 21   -0.319955 -0.732002 
11 22   -0.388464 -0.698468 
11 23   -0.388464 -0.698467 
11 24   -0.388464 -0.698467 
11 25   -0.388629 -0.698448 
11 26   -0.392358 -0.691781 
11 27   -0.383534 -0.687627 
11 28   -0.411341 -0.673746 
11 29   -0.259229 -0.65833 
12 0   0.36204 0.498433 
12 1   0.321436 0.425884 
12 2   0.320612 0.425207 
12 3   0.320636 0.425217 
12 4   0.320589 0.425198 
12 5   0.266953 0.40739 
12 6   0.188643 0.229176 
12 7   0.187255 0.226175 
12 8   0.187227 0.226138 
12 9   -0.075578 -0.10821 
12 10   -0.0756336 -0.108385 
12 11   0.317284 -0.48937 
12 12   0.316275 -0.475177 
12 13   0.316087 -0.479336 
12 14   0.324088 -0.543852 
12 15   0.163412 -0.652419 
12 16   0.00364782 -0.837311 
12 17   0.217648 -0.815826 
12 18   -0.172539 -0.751995 
12 19   -0.339466 -0.725449 
12 20   -0.33258 -0.731315 
12 21   -0.332252 -0.730987 
12 22   -0.447955 -0.72247 
12 23   -0.447955 -0.72247 
12 24   -0.423996 -0.699041 
12 25   -0.424881 -0.699013 
12 26   -0.416561 -0.693395 
12 27   -0.407014 -0.689383 
12 28   -0.458694 -0.67733 
12 29   -0.35521 -0.66565 
13 0   0.361425 0.499226 
13 1   0.321457 0.426304 
13 2   0.32051 0.425355 
13 3   0.320565 0.425306 
13 4   0.320551 0.425367 
13 5   0.266961 0.407464 
13 6   0.188731 0.22974 
13 7   0.187318 0.226753 
13 8   0.187305 0.226742 
13 9   -0.0755895 -0.108184 
13 10   -0.151811 -0.170021 
13 11   -0.151812 -0.17003 
13 12   -0.232111 -0.204012 
13 13   -0.232165 -0.205058 
13 14   -0.221869 -0.267829 
13 15   -0.423537 -0.423834 
13 16   -0.7936 -0.808604 
13 17   -0.794566 -0.809457 
13 18   -0.679012 -0.748515 
13 19   -0.592703 -0.72371 
13 20   -0.553592 -0.746583 
13 21   -0.550986 -0.74772 
13 22   -0.550645 -0.747348 
13 23   -0.550644 -0.747348 
13 24   -0.497591 -0.699143 
13 25   -0.498449 -0.699086 
13 26   -0.489739 -0.691279 
13 27   -0.466105 -0.673753 
13 28   -0.466094 -0.673722 
13 29   -0.360967 -0.660001 
14 0   0.373892 0.519142 
14 1   0.332517 0.451681 
14 2   0.331555 0.450734 
14 3   0.310304 0.431924 
14 4   0.310297 0.431925 
14 5   0.279384 0.413467 
14 6   0.24538 0.335689 
14 7   0.244667 0.334179 
14 8   0.244672 0.334174 
14 9   0.118491 0.182242 
14 10   0.0744968 0.136442 
14 11   0.0396262 0.117392 
14 12   -0.0269064 0.0984269 
14 13   -0.02692 0.0981656 
14 14   -0.34234 -0.217267 
14 15   -0.453655 -0.411193 
14 16   -0.808659 -0.802283 
14 17   -0.809626 -0.803137 
14 18   -0.686541 -0.745355 
14 19   -0.684186 -0.456359 
14 20   -0.663689 -0.468191 
14 21   -0.663328 -0.468364 
14 22   -0.662135 -0.468916 
14 23   -0.662134 -0.468915 
14 24   -0.635178 -0.444837 
14 25   -0.635178 -0.444837 
14 26   -0.630851 -0.440929 
14 27   -0.619221 -0.432121 
14 28   -0.61921 -0.43209 
14 29   -0.567437 -0.424821 
15 0   0.3913 0.569883 
15 1   0.373319 0.526145 
15 2   0.372583 0.525111 
15 3   0.330779 0.468943 
15 4   0.302158 0.453595 
15 5   0.29498 0.447251 
15 6   0.286672 0.427225 
15 7   0.28653 0.426928 
15 8   0.259184 0.386341 
15 9   0.146623 0.287349 
15 10   0.124584 0.264337 
15 11   -0.205879 0.148846 
15 12   -0.222508 0.144115 
15 13   -0.222505 0.14407 
15 14   -0.32997 0.0599369 
15 15   -0.486281 -0.184157 
15 16   -0.669693 -0.366466 
15 17   -0.669935 -0.366679 
15 18   -0.605467 -0.344587 
15 19   -0.665482 -0.263444 
15 20   -0.654879 -0.270183 
15 21   -0.654789 -0.270226 
15 22   -0.663575 -0.466874 
15 23   -0.663575 -0.466874 
15 24   -0.635898 -0.443818 
15 25   -0.635898 -0.443818 
15 26   -0.632586 -0.439783 
15 27   -0.619226 -0.432121 
15 28   -0.619218 -0.432088 
15 29   -0.5675 -0.424803 
16 0   0.391512 0.570188 
16 1   0.373222 0.526144 
16 2   0.372609 0.525156 
16 3   0.330783 0.468953 
16 4   0.302162 0.453594 
16 5   0.29498 0.447252 
16 6   0.286673 0.427225 
16 7   0.28653 0.426929 
16 8   0.259185 0.386345 
16 9   0.146624 0.287349 
16 10   0.124584 0.264337 
16 11   -0.205879 0.148846 
16 12   -0.222508 0.144115 
16 13   -0.400614 0.0286531 
16 14   -0.454346 -0.0134135 
16 15   -0.532501 -0.135461 
16 16   -0.624207 -0.226615 
16 17   -0.624328 -0.226722 
16 18   -0.592095 -0.215675 
16 19   -0.670398 -0.20106 
16 20   -0.665096 -0.20443 
16 21   -0.665051 -0.204451 
16 22   -0.669444 -0.302775 
16 23   -0.666628 -0.282379 
16 24   -0.644104 -0.414553 
16 25   -0.644104 -0.414553 
16 26   -0.642448 -0.412536 
16 27   -0.635768 -0.408705 
16 28   -0.635764 -0.408688 
16 29   -0.602402 -0.378003 
17 0   0.444635 0.579491 
17 1   0.444679 0.579487 
17 2   0.444476 0.579241 
17 3   0.36675 0.496135 
17 4   0.320145 0.467191 
17 5   0.312769 0.460883 
17 6   0.299672 0.439809 
17 7   0.299616 0.439707 
17 8   0.285354 0.4119 
17 9   0.151045 0.312137 
17 10   0.107848 0.265249 
17 11   -0.222964 0.14454 
17 12   -0.222964 0.14454 
17 13   -0.40084 0.0288664 
17 14   -0.454895 -0.0129443 
17 15   -0.532607 -0.135458 
17 16   -0.624259 -0.226614 
17 17   -0.624462 -0.226755 
17 18   -0.592171 -0.215672 
17 19   -0.670417 -0.201059 
17 20   -0.670419 -0.201062 
17 21   -0.670331 -0.201107 
17 22   -0.679707 -0.296224 
17 23   -0.671759 -0.279103 
17 24   -0.649235 -0.411278 
17 25   -0.649235 -0.411278 
17 26   -0.64617 -0.407241 
17 27   -0.634833 -0.39966 
17 28   -0.634833 -0.39966 
17 29   -0.594913 -0.359127 
18 0   0.498213 0.660148 
18 1   0.498215 0.660144 
18 2   0.498109 0.660008 
18 3   0.459247 0.618456 
18 4   0.435954 0.604099 
18 5   0.43226 0.600859 
18 6   0.425873 0.590836 
18 7   0.299888 0.440688 
18 8   0.285901 0.413864 
18 9   -0.0562006 0.355846 
18 10   -0.0787576 0.329234 
18 11   -0.30755 0.181293 
18 12   -0.308417 0.18046 
18 13   -0.443564 0.0468428 
18 14   -0.471099 0.0260209 
18 15   -0.50936 -0.0352875 
18 16   -0.555009 -0.0809307 
18 17   -0.555009 -0.0809307 
18 18   -0.557436 -0.14278 
18 19   -0.65884 -0.165668 
18 20   -0.670457 -0.20102 
18 21   -0.670537 -0.201081 
18 22   -0.680178 -0.296109 
18 23   -0.672003 -0.279025 
18 24   -0.649488 -0.411128 
18 25   -0.649488 -0.411128 
18 26   -0.647084 -0.406253 
18 27   -0.642136 -0.391974 
18 28   -0.642136 -0.391974 
18 29   -0.615102 -0.339956 
19 0   0.49895 0.661074 
19 1   0.498939 0.661068 
19 2   0.498944 0.661055 
19 3   0.459655 0.618983 
19 4   0.436146 0.604298 
19 5   0.432307 0.600909 
19 6   0.425904 0.590854 
19 7   0.300007 0.440746 
19 8   0.286138 0.413976 
19 9   -0.0556221 0.356478 
19 10   -0.0786859 0.329314 
19 11   -0.307514 0.181334 
19 12   -0.308399 0.180481 
19 13   -0.443561 0.0468586 
19 14   -0.47107 0.0260779 
19 15   -0.510981 -0.0288344 
19 16   -0.565951 -0.0419274 
19 17   -0.565945 -0.0417074 
19 18   -0.562869 -0.123196 
19 19   -0.660199 -0.160773 
19 20   -0.673173 -0.191228 
19 21   -0.77775 -0.0178327 
19 22   -0.784158 -0.0601059 
19 23   -0.781991 -0.056163 
19 24   -0.780301 -0.118924 
19 25   -0.780301 -0.118924 
19 26   -0.779769 -0.11773 
19 27   -0.765277 -0.113408 
19 28   -0.766388 -0.115131 
19 29   -0.756698 -0.0829916 
20 0   0.486424 0.669288 
20 1   0.486423 0.669289 
20 2   0.486422 0.669287 
20 3   0.447806 0.623271 
20 4   0.430223 0.606397 
20 5   0.429305 0.605571 
20 6   0.424443 0.59873 
20 7   0.297113 0.456594 
20 8   0.280352 0.445671 
20 9   -0.0539533 0.392205 
20 10   -0.0631199 0.379375 
20 11   -0.29468 0.209123 
20 12   -0.294902 0.20891 
20 13   -0.436812 0.0610728 
20 14   -0.470953 0.0271126 
20 15   -0.527288 0.0104434 
20 16   -0.559416 0.00115322 
20 17   -0.559628 0.0013432 
20 18   -0.559711 -0.101671 
20 19   -0.659409 -0.155391 
20 20   -0.671655 -0.180523 
20 21   -0.777055 -0.0123692 
20 22   -0.782707 -0.0490823 
20 23   -0.781702 -0.0482786 
20 24   -0.782263 -0.105178 
20 25   -0.782263 -0.105178 
20 26   -0.780227 -0.11642 
20 27   -0.765277 -0.113408 
20 28   -0.766388 -0.115131 
20 29   -0.756698 -0.0829917 
21 0   0.51005 0.682266 
21 1   0.51005 0.682261 
21 2   0.51003 0.682256 
21 3   0.453929 0.629848 
21 4   0.43327 0.609688 
21 5   0.431425 0.608032 
21 6   0.424429 0.598689 
21 7   0.297113 0.456593 
21 8   0.280347 0.44567 
21 9   -0.0539538 0.392204 
21 10   -0.06312 0.379375 
21 11   -0.29468 0.209123 
21 12   -0.294902 0.20891 
21 13   -0.436812 0.0610728 
21 14   -0.470953 0.0271126 
21 15   -0.527288 0.0104434 
21 16   -0.559416 0.00115322 
21 17   -0.559628 0.0013432 
21 18   -0.559711 -0.101671 
21 19   -0.665808 -0.146129 
21 20   -0.684515 -0.162058 
21 21   -0.783613 -0.00291406 
21 22   -0.7957 -0.0299788 
21 23   -0.79369 -0.0283714 
21 24   -0.823195 0.0626702 
21 25   -0.823195 0.0626702 
21 26   -0.820387 0.0613464 
21 27   -0.812911 0.0628524 
21 28   -0.813467 0.061991 
21 29   -0.816886 0.112082 
22 0   0.510065 0.682288 
22 1   0.510064 0.682291 
22 2   0.510061 0.682283 
22 3   0.453931 0.62985 
22 4   0.433271 0.609689 
22 5   0.431426 0.608033 
22 6   0.424387 0.598754 
22 7   0.297017 0.456714 
22 8   0.280158 0.44592 
22 9   -0.0541003 0.39303 
22 10   -0.0630342 0.379933 
22 11   -0.294638 0.209401 
22 12   -0.294749 0.209294 
22 13   -0.436735 0.0612652 
22 14   -0.470636 0.027891 
22 15   -0.527157 0.0107104 
22 16   -0.559344 0.0012872 
22 17   -0.559628 0.0013432 
22 18   -0.559651 0.00136152 
22 19   -0.665778 -0.0946132 
22 20   -0.703192 -0.126471 
22 21   -0.793209 0.0153249 
22 22   -0.814643 0.00688539 
22 23   -0.810623 0.0101002 
22 24   -0.837001 0.110813 
22 25   -0.837001 0.110813 
22 26   -0.831384 0.108166 
22 27   -0.816433 0.111178 
22 28   -0.817545 0.109455 
22 29   -0.816886 0.112082 
23 0   0.516045 0.716796 
23 1   0.516048 0.716796 
23 2   0.516043 0.716797 
23 3   0.445739 0.647303 
23 4   0.404451 0.606875 
23 5   0.404451 0.606875 
23 6   0.386335 0.602546 
23 7   0.220912 0.4643 
23 8   0.18649 0.477866 
23 9   -0.199548 0.52276 
23 10   -0.203866 0.515109 
23 11   -0.363272 0.277665 
23 12   -0.363383 0.277557 
23 13   -0.471052 0.0953967 
23 14   -0.486758 0.0891071 
23 15   -0.515093 0.0807309 
23 16   -0.526622 0.0716073 
23 17   -0.531856 0.0614995 
23 18   -0.531884 0.0615052 
23 19   -0.651894 -0.0645414 
23 20   -0.703149 -0.126367 
23 21   -0.793165 0.0154369 
23 22   -0.814468 0.00733362 
23 23   -0.810551 0.010365 
23 24   -0.839372 0.111376 
23 25   -0.839372 0.111376 
23 26   -0.836258 0.109011 
23 27   -0.825645 0.121816 
23 28   -0.828034 0.118572 
23 29   -0.827719 0.12503 
24 0   0.460698 0.736533 
24 1   0.460527 0.736549 
24 2   0.460527 0.736549 
24 3   0.431601 0.655779 
24 4   0.397398 0.611129 
24 5   0.00937222 0.798203 
24 6   8.65875e-005 0.79674 
24 7   -0.0868354 0.730474 
24 8   -0.112473 0.74297 
24 9   -0.289128 0.758055 
24 10   -0.403154 0.862543 
24 11   -0.443437 0.800971 
24 12   -0.443449 0.800951 
24 13   -0.460837 0.625092 
24 14   -0.464221 0.626166 
24 15   -0.471199 0.624067 
24 16   -0.571018 0.25476 
24 17   -0.572548 0.253157 
24 18   -0.572566 0.253146 
24 19   -0.672564 0.0321226 
24 20   -0.697374 0.0106334 
24 21   -0.791798 0.0272056 
24 22   -0.811691 0.0315386 
24 23   -0.813327 0.0517745 
24 24   -0.84449 0.138338 
24 25   -0.844491 0.138337 
24 26   -0.846306 0.163141 
24 27   -0.843746 0.16754 
24 28   -0.843793 0.16762 
24 29   -0.843775 0.167709 
25 0   0.460811 0.736699 
25 1   0.460474 0.736729 
25 2   0.460474 0.736731 
25 3   0.442779 0.734691 
25 4   0.374385 0.645345 
25 5   -0.0025927 0.815324 
25 6   -0.0212361 0.812385 
25 7   -0.129482 0.761757 
25 8   -0.180914 0.786736 
25 9   -0.30744 0.768937 
25 10   -0.41234 0.868001 
25 11   -0.448342 0.803282 
25 12   -0.448389 0.8032 
25 13   -0.463307 0.626219 
25 14   -0.464063 0.626292 
25 15   -0.471071 0.624183 
25 16   -0.570894 0.254872 
25 17   -0.572393 0.253354 
25 18   -0.572428 0.253333 
25 19   -0.573155 0.254926 
25 20   -0.622528 0.212687 
25 21   -0.811062 0.246663 
25 22   -0.851477 0.253665 
25 23   -0.854749 0.294137 
25 24   -0.917076 0.467263 
25 25   -0.917077 0.467263 
25 26   -0.920707 0.51687 
25 27   -0.915587 0.525667 
25 28   -0.915681 0.525828 
25 29   -0.915645 0.526007 
26 0   0.454259 0.800307 
26 1   0.453591 0.800373 
26 2   0.45359 0.800376 
26 3   0.418212 0.796315 
26 4   0.418165 0.796267 
26 5   0.0165335 0.890897 
26 6   -0.0580373 0.879145 
26 7   -0.203096 0.895233 
26 8   -0.203097 0.895232 
26 9   -0.315379 0.795961 
26 10   -0.416392 0.881541 
26 11   -0.41969 0.8776 
26 12   -0.419877 0.877274 
26 13   -0.449052 0.663266 
26 14   -0.452075 0.663555 
26 15   -0.461681 0.653483 
26 16   -0.557783 0.30702 
26 17   -0.560343 0.305691 
26 18   -0.560483 0.305604 
26 19   -0.562527 0.307055 
26 20   -0.658087 0.235078 
26 21   -0.849844 0.265603 
26 22   -0.849855 0.265604 
26 23   -0.854045 0.298416 
26 24   -0.916902 0.468336 
26 25   -0.916904 0.468335 
26 26   -0.920379 0.519036 
26 27   -0.915587 0.525667 
26 28   -0.915681 0.525828 
26 29   -0.915645 0.526007 
27 0   0.454257 0.800307 
27 1   0.453591 0.800377 
27 2   0.453588 0.800373 
27 3   0.418208 0.796313 
27 4   0.418165 0.796268 
27 5   0.0165334 0.890897 
27 6   -0.0580356 0.879144 
27 7   -0.203097 0.895232 
27 8   -0.203096 0.895233 
27 9   -0.315379 0.795961 
27 10   -0.416392 0.881541 
27 11   -0.41969 0.877601 
27 12   -0.419877 0.877275 
27 13   -0.419879 0.877299 
27 14   -0.425925 0.877878 
27 15   -0.445137 0.857734 
27 16   -0.536844 0.700805 
27 17   -0.541963 0.698146 
27 18   -0.542244 0.697972 
27 19   -0.546332 0.700874 
27 20   -0.737452 0.556921 
27 21   -0.914081 0.323955 
27 22   -0.914103 0.323957 
27 23   -0.923657 0.402812 
27 24   -0.917893 0.472176 
27 25   -0.917898 0.472174 
27 26   -0.922402 0.526757 
27 27   -0.919633 0.54111 
27 28   -0.919821 0.541431 
27 29   -0.919748 0.541789 
28 0   0.415088 0.819964 
28 1   0.40985 0.820457 
28 2   0.409938 0.820401 
28 3   0.39638 0.806374 
28 4   0.396141 0.805926 
28 5   0.00329692 0.894623 
28 6   -0.0615282 0.879816 
28 7   -0.210142 0.896352 
28 8   -0.210147 0.896347 
28 9   -0.315335 0.79604 
28 10   -0.416381 0.881561 
28 11   -0.419652 0.877654 
28 12   -0.419839 0.877327 
28 13   -0.419845 0.877373 
28 14   -0.42589 0.877957 
28 15   -0.44513 0.857754 
28 16   -0.536851 0.700809 
28 17   -0.541976 0.698155 
28 18   -0.541967 0.698278 
28 19   -0.546194 0.701027 
28 20   -0.736691 0.558333 
28 21   -0.912558 0.326781 
28 22   -0.912604 0.326785 
28 23   -0.923485 0.403206 
28 24   -0.917884 0.472201 
28 25   -0.917893 0.472196 
28 26   -0.922382 0.526846 
28 27   -0.919594 0.541292 
28 28   -0.919743 0.541794 
28 29   -0.919748 0.541789 
29 0   0.278128 0.899514 
29 1   0.268133 0.900196 
29 2   0.268125 0.900087 
29 3   0.240948 0.871958 
29 4   0.240964 0.871931 
29 5   -0.0802831 0.92643 
29 6   -0.209912 0.896976 
29 7   -0.21004 0.896498 
29 8   -0.210023 0.896509 
29 9   -0.309334 0.904932 
29 10   -0.413559 0.936042 
29 11   -0.420124 0.928125 
29 12   -0.420101 0.927809 
29 13   -0.420175 0.928126 
29 14   -0.43227 0.929358 
29 15   -0.470974 0.888559 
29 16   -0.612703 0.733135 
