0 0   0.563585 0.808741 
0 22   44.2397 52.0024 
0 23   44.5651 52.8006 
0 24   42.5367 59.6581 
0 25   42.5367 59.6581 
0 26   42.5288 59.6637 
0 27   42.5287 59.6638 
0 28   42.5246 59.6659 
0 29   41.4501 61.5552 
1 0   39.0221 15.6213 
1 1   39.4997 16.1098 
1 2   39.7497 16.3301 
1 3   39.7509 16.3304 
1 4   40.0103 16.4798 
1 5   40.0263 16.5567 
1 6   44.9079 25.2694 
1 7   44.9367 25.5007 
1 8   50.632 30.516 
1 9   57.5117 41.0635 
1 10   57.4468 41.6706 
1 11   57.446 41.6783 
1 12   52.1712 44.0401 
1 13   51.8791 45.0697 
1 14   46.6729 47.5969 
1 15   46.5933 47.6366 
1 16   46.5955 47.7364 
1 17   46.5963 47.7387 
1 18   43.8167 49.9958 
1 19   43.0114 50.8939 
1 20   42.8662 51.0018 
1 21   42.8531 51.0626 
1 22   42.8531 51.0633 
1 23   43.0157 51.4624 
1 24   42.3045 58.165 
1 25   42.5366 59.6581 
1 26   42.5286 59.6637 
1 27   42.5286 59.6637 
1 28   42.5243 59.6656 
1 29   41.4487 61.5539 
2 0   39.0273 15.6266 
2 1   39.4952 16.1115 
2 2   39.7497 16.3303 
2 3   40.7987 19.827 
2 4   40.9284 19.9006 
2 5   40.9364 19.939 
2 6   44.8858 29.8941 
2 7   44.9002 30.0097 
2 8   47.7478 32.5173 
2 9   51.1877 37.7911 
2 10   51.1544 38.0987 
2 11   51.1542 38.1006 
2 12   48.5168 39.2806 
2 13   48.3707 39.7954 
2 14   46.6722 47.5981 
2 15   46.5924 47.6358 
2 16   46.5882 47.7301 
2 17   46.5886 47.7313 
2 18   43.8128 49.9921 
2 19   43.0094 50.892 
2 20   42.8643 50.9999 
2 21   41.9769 51.206 
2 22   41.9769 51.2063 
2 23   41.8388 51.4188 
2 24   41.9972 57.9225 
2 25   41.922 59.173 
2 26   41.921 59.1737 
2 27   41.921 59.1737 
2 28   41.9205 59.174 
2 29   40.2588 60.3476 
3 0   39.0255 15.6174 
3 1   39.4989 16.1124 
3 2   39.7507 16.3335 
3 3   40.7987 19.8262 
3 4   40.9285 19.9006 
3 5   40.9365 19.9392 
3 6   44.7619 29.9158 
3 7   44.8382 30.0206 
3 8   47.5001 32.5609 
3 9   50.7664 37.8144 
3 10   50.7498 37.9678 
3 11   50.7497 37.9687 
3 12   48.1123 39.1482 
3 13   48.0392 39.4056 
3 14   46.3407 47.2083 
3 15   46.3008 47.2272 
3 16   44.4403 48.0602 
3 17   44.5853 48.2886 
3 18   43.378 50.1115 
3 19   42.662 50.9436 
3 20   42.6557 50.9981 
3 21   41.8767 51.1816 
3 22   41.8767 51.1817 
3 23   41.7386 51.3941 
3 24   41.9949 57.9175 
3 25   41.9175 59.1631 
3 26   41.9172 59.1632 
3 27   41.9178 59.1705 
3 28   41.9175 59.1706 
3 29   40.2467 60.3341 
4 0   39.0239 15.6141 
4 1   39.4972 16.1122 
4 2   39.7521 16.3334 
4 3   40.7984 19.8271 
4 4   40.9284 19.9006 
4 5   40.9365 19.9392 
4 6   44.7616 29.9216 
4 7   44.8176 30.0353 
4 8   47.4177 32.62 
4 9   47.2673 38.4143 
4 10   46.5764 38.2938 
4 11   46.5764 38.2938 
4 12   45.5526 39.0967 
4 13   45.549 39.147 
4 14   43.8504 46.9497 
4 15   43.8411 46.9526 
4 16   43.2624 47.4794 
4 17   43.2918 47.5244 
4 18   43.0463 49.6661 
4 19   42.5947 50.7276 
4 20   42.6474 50.9727 
4 21   41.8696 51.1754 
4 22   41.8696 51.1754 
4 23   41.7315 51.3878 
4 24   41.9944 57.9171 
4 25   41.9166 59.1623 
4 26   41.9171 59.1632 
4 27   41.9176 59.1705 
4 28   41.9174 59.1705 
4 29   40.2465 60.3338 
5 0   39.5245 18.7756 
5 1   39.6442 18.8977 
5 2   39.7078 18.9536 
5 3   40.777 21.1373 
5 4   40.8095 21.1557 
5 5   40.8115 21.1654 
5 6   43.8564 31.2721 
5 7   43.8845 31.3289 
5 8   45.1845 32.6212 
5 9   44.5972 35.5058 
5 10   44.4274 35.4753 
5 11   45.9034 38.3281 
5 12   45.3521 39.0855 
5 13   45.3503 39.1106 
5 14   43.6518 46.9134 
5 15   42.0563 46.9106 
5 16   41.8154 47.1831 
5 17   41.8226 47.194 
5 18   42.3731 49.4228 
5 19   41.6254 50.6204 
5 20   41.6371 50.6834 
5 21   41.364 51.0192 
5 22   41.364 51.0192 
5 23   41.3294 51.0723 
5 24   41.9305 57.8187 
5 25   41.7887 58.9654 
5 26   41.8021 59.0115 
5 27   41.8018 59.0147 
5 28   41.8018 59.0147 
5 29   40.0178 60.008 
6 0   39.351 19.3429 
6 1   39.5472 19.5364 
6 2   39.5999 19.5669 
6 3   40.7232 21.4442 
6 4   40.7143 21.4983 
6 5   40.7156 21.5005 
6 6   43.5174 33.3294 
6 7   43.9051 33.58 
6 8   45.1638 35.0033 
6 9   44.2181 35.2768 
6 10   44.16 35.2819 
6 11   45.3689 37.9416 
6 12   45.1265 38.8552 
6 13   45.1247 38.8804 
6 14   43.4262 46.6831 
6 15   41.995 46.8789 
6 16   41.7848 47.1676 
6 17   41.796 47.1869 
6 18   42.3699 49.4202 
6 19   41.625 50.6201 
6 20   41.6359 50.6832 
6 21   41.3639 51.0192 
6 22   41.3566 51.0149 
6 23   41.3221 51.068 
6 24   41.1791 52.4035 
6 25   40.8916 54.6829 
6 26   40.9104 54.7471 
6 27   40.9058 54.7573 
6 28   40.9058 54.7573 
6 29   37.291 56.7024 
7 0   39.3515 19.344 
7 1   39.5475 19.537 
7 2   39.5997 19.567 
7 3   40.981 22.3356 
7 4   40.9721 22.3608 
7 5   40.9742 22.3633 
7 6   43.5645 33.8322 
7 7   43.7582 33.9577 
7 8   44.3694 34.672 
7 9   43.9284 34.8041 
7 10   43.9016 34.8063 
7 11   44.5038 36.1364 
7 12   44.3824 36.5932 
7 13   44.3815 36.6058 
7 14   43.4167 46.6842 
7 15   41.9936 46.8778 
7 16   41.784 47.1666 
7 17   41.795 47.1858 
7 18   41.7651 47.3553 
7 19   38.0742 50.3473 
7 20   38.0839 50.4098 
7 21   37.8122 50.7459 
7 22   37.8054 50.742 
7 23   37.7708 50.795 
7 24   37.4192 50.9622 
7 25   36.1689 51.3929 
7 26   36.1863 51.4563 
7 27   36.1792 51.4651 
7 28   36.1792 51.4651 
7 29   36.1545 51.4787 
8 0   39.3482 19.3435 
8 1   39.5586 19.5655 
8 2   39.5851 19.5807 
8 3   40.9773 22.3391 
8 4   40.9687 22.3618 
8 5   40.9705 22.3634 
8 6   43.553 33.83 
8 7   43.7336 33.9475 
8 8   44.3201 34.6516 
8 9   43.9148 34.7981 
8 10   43.8947 34.8032 
8 11   44.4899 36.1301 
8 12   44.3824 36.5932 
8 13   44.3815 36.6058 
8 14   43.4166 46.6842 
8 15   41.9936 46.8778 
8 16   41.7839 47.1666 
8 17   41.7946 47.1857 
8 18   41.7645 47.355 
8 19   38.1115 49.7545 
8 20   38.1309 49.8794 
8 21   37.8307 50.4831 
8 22   37.8171 50.4753 
8 23   37.7481 50.5815 
8 24   37.3601 50.8997 
8 25   36.0508 51.2679 
8 26   36.0845 51.3782 
8 27   36.0678 51.3628 
8 28   36.0678 51.3628 
8 29   36.0138 51.3238 
9 0   39.3515 19.3441 
9 1   39.559 19.5655 
9 2   39.585 19.5807 
9 3   40.9772 22.3391 
9 4   40.9687 22.3618 
9 5   40.9704 22.3634 
9 6   43.553 33.83 
9 7   43.7336 33.9475 
9 8   43.0007 36.5498 
9 9   42.798 36.6231 
9 10   42.788 36.6256 
9 11   43.0856 37.2891 
9 12   43.0318 37.5207 
9 13   43.0313 37.5269 
9 14   42.3923 42.594 
9 15   41.6181 42.6939 
9 16   41.5971 42.7645 
9 17   41.5904 42.7662 
9 18   41.5902 42.7663 
9 19   38.0272 49.6778 
9 20   37.9523 49.6827 
9 21   37.7467 50.3821 
9 22   37.7467 50.384 
9 23   37.6776 50.4902 
9 24   37.3446 50.8779 
9 25   36.0164 51.2351 
9 26   36.0166 51.3142 
9 27   35.9969 51.2972 
9 28   35.9969 51.2972 
9 29   35.9969 51.2972 
10 0   40.4586 29.4001 
10 1   40.9761 30.0759 
10 2   41.1864 30.1977 
10 3   43.3362 33.344 
10 4   43.328 33.4549 
10 5   43.3155 33.4751 
10 6   43.4635 33.8186 
10 7   43.5548 33.9247 
10 8   42.8219 36.5271 
10 9   42.592 36.6141 
10 10   42.587 36.6154 
10 11   42.6572 37.2776 
10 12   42.6589 37.2784 
10 13   42.6587 37.28 
10 14   41.7097 42.1088 
10 15   41.3468 42.2916 
10 16   41.3289 42.3791 
10 17   41.3254 42.3799 
10 18   41.3252 42.3799 
10 19   37.8972 49.4834 
10 20   37.757 49.6421 
10 21   37.6493 50.3618 
10 22   37.6397 50.366 
10 23   37.6776 50.4901 
10 24   37.3446 50.8779 
10 25   36.0164 51.235 
10 26   36.0166 51.3142 
10 27   35.9966 51.297 
10 28   35.9966 51.297 
10 29   35.9966 51.297 
11 0   39.7689 29.0897 
11 1   40.3317 29.5333 
11 2   40.4852 29.6108 
11 3   43.1612 33.1973 
11 4   43.2402 33.3813 
11 5   43.2398 33.3935 
11 6   43.4634 33.8186 
11 7   43.5544 33.9247 
11 8   42.8215 36.527 
11 9   42.592 36.6141 
11 10   42.587 36.6154 
11 11   42.6572 37.2776 
11 12   42.6588 37.2784 
11 13   42.658 37.2789 
11 14   41.7089 42.1077 
11 15   41.3466 42.2915 
11 16   41.3288 42.379 
11 17   41.3251 42.3796 
11 18   41.3247 42.3796 
11 19   37.8971 49.4833 
11 20   37.7556 49.6418 
11 21   37.442 50.4659 
11 22   37.4372 50.468 
11 23   37.4563 50.5301 
11 24   37.2895 50.8877 
11 25   35.9077 51.2493 
11 26   35.907 51.2886 
11 27   35.8953 51.2787 
11 28   35.8953 51.2787 
11 29   35.8953 51.2787 
12 0   39.7747 29.1001 
12 1   40.2911 29.5709 
12 2   40.2923 29.5714 
12 3   43.113 33.1876 
12 4   43.2162 33.3765 
12 5   43.2211 33.3845 
12 6   43.3997 33.7879 
12 7   43.4317 33.862 
12 8   42.6989 36.4644 
12 9   42.5643 36.5959 
12 10   42.5624 36.5965 
12 11   42.6216 37.2352 
12 12   42.6564 37.2787 
12 13   42.6563 37.2787 
12 14   41.8405 39.9289 
12 15   41.1189 40.2968 
12 16   41.0832 40.4718 
12 17   41.0751 40.473 
12 18   41.0731 40.4729 
12 19   37.1244 48.4351 
12 20   36.8417 48.752 
12 21   36.2144 50.4003 
12 22   36.2048 50.4045 
12 23   36.2431 50.5287 
12 24   35.9094 51.2439 
12 25   35.9077 51.2493 
12 26   35.907 51.2886 
12 27   35.8952 51.2787 
12 28   35.8952 51.2787 
12 29   35.8952 51.2787 
13 0   39.7735 29.0972 
13 1   40.2411 30.1822 
13 2   40.2408 30.1819 
13 3   41.328 32.1657 
13 4   41.4356 32.3527 
13 5   41.4409 32.3589 
13 6   41.6022 32.7546 
13 7   41.6099 32.8191 
13 8   41.7354 36.059 
13 9   41.6864 36.4675 
13 10   41.6854 36.4678 
13 11   41.6544 37.5016 
13 12   42.0213 38.0631 
13 13   42.0212 38.0631 
13 14   41.8405 39.9288 
13 15   41.1189 40.2968 
13 16   41.0832 40.4718 
13 17   41.0751 40.473 
13 18   41.073 40.4729 
13 19   37.1244 48.4351 
13 20   36.8417 48.752 
13 21   35.9985 49.1788 
13 22   35.9793 49.1871 
13 23   35.9793 49.1871 
13 24   35.4276 50.3031 
13 25   35.4141 50.3463 
13 26   35.3645 50.406 
13 27   35.2701 50.3264 
13 28   35.2701 50.3264 
13 29   35.2701 50.3264 
14 0   39.7733 29.1004 
14 1   40.2412 30.182 
14 2   40.2405 30.1818 
14 3   41.3279 32.1657 
14 4   41.4356 32.3526 
14 5   41.4393 32.3581 
14 6   41.5964 32.7522 
14 7   41.6045 32.818 
14 8   41.7301 36.058 
14 9   41.6855 36.4674 
14 10   41.685 36.4678 
14 11   41.654 37.5016 
14 12   42.0198 38.0638 
14 13   41.6007 38.0725 
14 14   41.0434 39.8979 
14 15   40.6882 40.0808 
14 16   40.6539 40.1019 
14 17   40.6536 40.1018 
14 18   40.6524 40.1017 
14 19   36.9451 48.2762 
14 20   36.6007 48.3886 
14 21   36.198 48.6366 
14 22   36.1884 48.6407 
14 23   36.1884 48.6407 
14 24   35.4087 50.2688 
14 25   35.3664 50.3022 
14 26   35.2485 50.3198 
14 27   35.2479 50.3211 
14 28   35.2479 50.3211 
14 29   35.2479 50.3211 
15 0   39.7721 29.0909 
15 1   40.2411 30.1817 
15 2   40.2407 30.1814 
15 3   41.3279 32.1658 
15 4   41.4356 32.3527 
15 5   41.4393 32.3581 
15 6   41.593 32.7496 
15 7   41.5957 32.815 
15 8   41.7218 36.0553 
15 9   41.6755 36.4159 
15 10   41.6756 36.416 
15 11   41.6343 37.4057 
15 12   42.0206 37.9519 
15 13   41.6011 38.0166 
15 14   40.959 39.8355 
15 15   40.6046 40.0187 
15 16   40.5283 40.0589 
15 17   40.5269 40.0587 
15 18   40.5269 40.0588 
15 19   36.8735 48.2631 
15 20   36.5874 48.39 
15 21   36.198 48.6366 
15 22   36.1884 48.6407 
15 23   36.1884 48.6407 
15 24   35.4049 50.2673 
15 25   35.3514 50.296 
15 26   35.1869 50.291 
15 27   35.1856 50.2892 
15 28   35.1856 50.2892 
15 29   35.1856 50.2892 
16 0   37.0556 26.8867 
16 1   39.2237 29.8148 
16 2   39.2262 29.8169 
16 3   40.7948 31.9957 
16 4   41.2256 32.7426 
16 5   41.2402 32.7647 
16 6   41.4508 33.0651 
16 7   41.4559 33.196 
16 8   41.7352 36.6696 
16 9   41.5307 37.4314 
16 10   41.5307 37.4314 
16 11   41.533 37.4375 
16 12   41.7351 37.926 
16 13   41.4584 38.0037 
16 14   40.8512 39.8188 
16 15   40.455 39.841 
16 16   40.3442 39.8665 
16 17   40.3425 39.8663 
16 18   40.3425 39.8663 
16 19   37.4348 46.2198 
16 20   36.8271 46.4535 
16 21   36.1319 47.0124 
16 22   36.0936 47.029 
16 23   36.0936 47.029 
16 24   35.1698 49.6792 
16 25   34.9446 49.7891 
16 26   34.7942 49.7616 
16 27   34.7906 49.7569 
16 28   34.7906 49.7568 
16 29   34.7887 49.7532 
17 0   17.6167 12.4281 
17 1   36.2502 29.2293 
17 2   36.2244 29.2739 
17 3   39.7819 32.183 
17 4   39.7905 32.1857 
17 5   40.1973 32.5686 
17 6   41.0339 34.0259 
17 7   41.3143 34.2826 
17 8   41.4975 36.3654 
17 9   41.328 37.346 
17 10   41.3283 37.3464 
17 11   41.3335 37.3585 
17 12   41.3527 37.8401 
17 13   41.2672 37.9609 
17 14   40.4602 39.8396 
17 15   40.455 39.841 
17 16   40.3442 39.8665 
17 17   40.3425 39.8663 
17 18   40.3425 39.8663 
17 19   37.4348 46.2198 
17 20   36.8271 46.4535 
17 21   36.1319 47.0124 
17 22   36.0756 47.0059 
17 23   36.0756 47.0059 
17 24   35.1481 49.663 
17 25   34.8579 49.7244 
17 26   34.5571 49.6694 
17 27   34.5497 49.6599 
17 28   34.5498 49.6601 
17 29   34.546 49.6525 
18 0   23.3132 19.6122 
18 1   32.4368 27.9082 
18 2   32.4153 27.9129 
18 3   32.8726 28.398 
18 4   32.872 28.3873 
18 5   33.9564 31.4444 
18 6   34.2011 32.0135 
18 7   34.4341 32.2331 
18 8   38.0576 35.3408 
18 9   39.3725 37.3354 
18 10   39.3724 37.3354 
18 11   39.3798 37.349 
18 12   39.3889 37.8248 
18 13   39.3105 37.9503 
18 14   39.3043 38.0586 
18 15   39.3037 38.0597 
18 16   40.3425 39.8663 
18 17   40.3425 39.8663 
18 18   40.3425 39.8663 
18 19   38.9972 41.5007 
18 20   37.7789 41.9622 
18 21   36.3908 43.0845 
18 22   36.2773 43.0701 
18 23   36.2773 43.0701 
18 24   34.8172 44.7369 
18 25   33.2161 44.5302 
18 26   30.6773 44.0532 
18 27   30.5713 43.9264 
18 28   30.5726 43.9271 
18 29   30.5154 43.8084 
19 0   23.2171 19.5885 
19 1   30.9387 26.762 
19 2   30.9849 26.7425 
19 3   32.1499 27.8366 
19 4   32.1447 27.8075 
19 5   33.7773 31.3014 
19 6   33.8312 31.7277 
19 7   34.2993 32.1657 
19 8   37.9907 35.3068 
19 9   39.3653 37.3335 
19 10   39.3654 37.3335 
19 11   39.3763 37.348 
19 12   39.3888 37.8248 
19 13   39.3095 37.949 
19 14   39.3041 38.0584 
19 15   38.5052 38.6607 
19 16   39.0246 39.5639 
19 17   39.0246 39.5639 
19 18   39.0246 39.5639 
19 19   36.3647 40.7879 
19 20   35.7555 41.0187 
19 21   35.0615 41.5798 
19 22   35.0047 41.5726 
19 23   35.0047 41.5726 
19 24   34.2747 42.406 
19 25   33.4741 42.3027 
19 26   30.6767 44.0531 
19 27   30.5696 43.9278 
19 28   30.5709 43.926 
19 29   30.5111 43.8095 
20 0   23.2284 19.5675 
20 1   30.948 26.7717 
20 2   30.969 26.7637 
20 3   32.1341 27.8206 
20 4   32.1563 27.8082 
20 5   33.7736 31.304 
20 6   33.8358 31.7279 
20 7   34.3009 32.1688 
20 8   34.3018 32.1663 
20 9   37.0494 36.2188 
20 10   37.0495 36.219 
20 11   37.0713 36.2479 
20 12   37.086 37.1914 
20 13   36.9325 37.4449 
20 14   36.9158 37.477 
20 15   35.3209 38.7763 
20 16   36.2337 40.5051 
20 17   36.2337 40.5051 
20 18   36.2319 40.5046 
20 19   36.2319 40.5046 
20 20   35.452 40.579 
20 21   34.8533 41.4321 
20 22   34.4597 41.3684 
20 23   34.4598 41.3685 
20 24   32.3864 41.7767 
20 25   30.4176 41.4052 
20 26   26.5323 42.5825 
20 27   26.5294 42.5842 
20 28   26.5341 42.5789 
20 29   26.4041 42.3384 
21 0   23.2466 19.5044 
21 1   30.9685 26.7421 
21 2   30.939 26.7373 
21 3   32.1522 27.8319 
21 4   32.1413 27.8259 
21 5   33.3815 30.9612 
21 6   33.0408 31.0537 
21 7   33.988 31.9353 
21 8   33.985 31.932 
21 9   36.3721 34.7164 
21 10   36.3727 34.7167 
21 11   36.3726 34.7169 
21 12   35.5191 36.2916 
21 13   35.8009 37.0067 
21 14   35.7995 37.2622 
21 15   34.7309 38.68 
21 16   35.2831 40.2678 
21 17   35.2832 40.2679 
21 18   35.2546 40.2606 
21 19   35.2545 40.2606 
21 20   34.3395 40.1153 
21 21   34.347 41.3411 
21 22   34.3471 41.3408 
21 23   34.347 41.3411 
21 24   32.3299 41.7629 
21 25   30.3198 41.3736 
21 26   26.5327 42.5797 
21 27   26.531 42.5792 
21 28   26.5297 42.5847 
21 29   26.4101 42.3431 
22 0   14.4983 13.4602 
22 1   29.0922 25.8999 
22 2   29.1102 25.8569 
22 3   31.4639 28.0058 
22 4   31.5058 28.0213 
22 5   33.0618 31.0583 
22 6   33.0545 31.0564 
22 7   33.6747 31.6521 
22 8   33.6763 31.659 
22 9   36.3334 34.6826 
22 10   36.3341 34.6819 
22 11   36.3341 34.6814 
22 12   35.3669 36.1498 
22 13   35.7225 36.9362 
22 14   35.7536 37.2295 
22 15   34.7252 38.6761 
22 16   35.2716 40.26 
22 17   35.2715 40.2598 
22 18   35.2545 40.2606 
22 19   35.2545 40.2606 
22 20   34.2352 39.9596 
22 21   34.2345 39.9604 
22 22   34.2351 39.9655 
22 23   34.2332 39.958 
22 24   31.5065 39.6653 
22 25   27.2259 38.3339 
22 26   17.4787 33.3012 
22 27   17.4377 33.3173 
22 28   17.5049 33.3454 
22 29   14.6029 28.5697 
23 0   14.6297 13.4095 
23 1   24.2734 21.5495 
23 2   24.235 21.6575 
23 3   28.8677 25.9106 
23 4   28.8919 25.796 
23 5   31.7802 29.9737 
23 6   31.7707 29.9661 
23 7   31.7649 29.9888 
23 8   31.7605 29.9584 
23 9   35.9004 34.6659 
23 10   35.9005 34.6648 
23 11   35.9026 34.665 
23 12   35.0566 35.8492 
23 13   35.5682 36.79 
23 14   35.6642 37.1561 
23 15   34.7141 38.6669 
23 16   35.2493 40.2421 
23 17   35.2494 40.242 
23 18   35.2546 40.2606 
23 19   35.2545 40.2607 
23 20   34.2367 39.9627 
23 21   34.2346 39.9654 
23 22   34.2378 39.9635 
23 23   34.237 39.9621 
23 24   31.5084 39.6661 
23 25   27.2209 38.3273 
23 26   17.5074 33.2968 
23 27   17.4455 33.2745 
23 28   17.4849 33.2516 
23 29   14.6524 28.4532 
24 0   14.6984 13.4778 
24 1   14.6182 13.302 
24 2   14.407 13.3465 
24 3   14.3386 13.6863 
24 4   14.5767 13.6941 
24 5   24.5965 23.9032 
24 6   24.5994 23.7588 
24 7   24.6509 23.8466 
24 8   24.4779 23.8615 
24 9   34.3035 35.5102 
24 10   34.2845 35.5034 
24 11   34.2977 35.524 
24 12   34.2899 35.5118 
24 13   35.1783 36.6154 
24 14   35.5379 37.0029 
24 15   34.6974 38.6476 
24 16   35.2178 40.2027 
24 17   35.2171 40.204 
24 18   35.2387 40.2415 
24 19   35.2385 40.2412 
24 20   33.9837 39.6625 
24 21   33.9824 39.6526 
24 22   33.983 39.6606 
24 23   33.9798 39.6552 
24 24   31.3811 39.5159 
24 25   27.2233 38.3262 
24 26   17.5172 33.2663 
24 27   17.4565 33.335 
24 28   17.5033 33.2961 
24 29   14.6066 28.5838 
25 0   14.342 13.6184 
25 1   14.4133 13.3092 
25 2   14.4081 13.7499 
25 3   14.6562 13.5645 
25 4   14.683 13.679 
25 5   24.6053 23.7145 
25 6   24.6324 23.8698 
25 7   24.5515 23.7342 
25 8   24.5134 23.7153 
25 9   33.2243 34.3664 
25 10   33.1806 34.3692 
25 11   33.1902 34.3827 
25 12   33.2154 34.3823 
25 13   33.2317 34.3563 
25 14   33.2033 34.353 
25 15   33.8975 37.7782 
25 16   33.6208 38.4738 
25 17   33.6158 38.4747 
25 18   33.9659 39.0709 
25 19   33.9575 39.0672 
25 20   26.6545 34.1383 
25 21   26.6564 34.0907 
25 22   26.6725 34.0451 
25 23   26.7101 34.1143 
25 24   26.621 37.7081 
25 25   26.6349 37.7165 
25 26   17.4635 33.3315 
25 27   17.5179 33.3685 
25 28   17.5108 33.2786 
25 29   14.7009 28.4058 
26 0   14.4302 13.4976 
26 1   14.7473 13.4376 
26 2   14.6906 13.6462 
26 3   14.8051 13.7312 
26 4   14.3915 13.3916 
26 5   24.6508 23.84 
26 6   24.4675 23.84 
26 7   24.5742 23.8458 
26 8   24.5725 23.7205 
26 9   31.0476 31.9064 
26 10   31.0415 32.0113 
26 11   31.1126 31.9037 
26 12   31.1226 31.9142 
26 13   31.1062 31.9121 
26 14   31.133 31.962 
26 15   33.268 37.1454 
26 16   32.3359 37.206 
26 17   32.3428 37.2069 
26 18   33.0246 38.4028 
26 19   33.0354 38.4056 
26 20   26.7701 34.0363 
26 21   26.7501 34.1246 
26 22   26.7004 34.1028 
26 23   26.7095 34.0746 
26 24   26.7386 34.0736 
26 25   26.7713 34.0603 
26 26   11.4589 19.711 
26 27   11.4258 19.9249 
26 28   11.7834 20.0253 
26 29   0.432173 0.313059 
27 0   14.3984 13.5006 
27 1   14.7696 13.6843 
27 2   14.5997 13.482 
27 3   14.363 13.4119 
27 4   14.4784 13.5333 
27 5   24.606 23.8378 
27 6   24.6878 23.713 
27 7   24.515 23.7346 
27 8   24.6317 23.8978 
27 9   17.6333 17.5374 
27 10   17.3234 17.4866 
27 11   17.6532 17.3362 
27 12   17.44 17.5443 
27 13   17.7254 17.2516 
27 14   17.6706 17.4643 
27 15   25.53 28.5979 
27 16   16.9188 20.2279 
27 17   17.1292 20.1237 
27 18   17.2966 20.3112 
27 19   17.2537 20.1595 
27 20   17.2047 20.4203 
27 21   17.1427 20.1117 
27 22   16.941 20.4601 
27 23   16.9442 20.3489 
27 24   17.1391 20.4803 
27 25   17.2328 20.2016 
27 26   0.69863 0.325144 
27 27   0.743217 0.962767 
27 28   0.0252083 0.119144 
27 29   0.536241 0.500656 
28 0   14.6449 13.2995 
28 1   14.3391 13.5574 
28 2   14.7027 13.3288 
28 3   14.6579 13.712 
28 4   14.7645 13.331 
28 5   24.5211 23.9218 
28 6   24.5912 23.7765 
28 7   24.6799 23.8566 
28 8   24.6055 23.7745 
28 9   17.5723 17.2454 
28 10   17.5241 17.4638 
28 11   17.3837 17.4252 
28 12   17.6436 17.4603 
28 13   17.3674 17.4551 
28 14   17.3493 17.4081 
28 15   25.7372 28.6441 
28 16   17.2883 20.3561 
28 17   17.1576 20.0825 
28 18   17.2752 20.4785 
28 19   16.8965 20.2648 
28 20   17.3098 20.2478 
28 21   17.1739 20.4834 
28 22   17.123 20.3414 
28 23   16.9647 20.4213 
28 24   17.053 20.5247 
28 25   17.1602 20.1356 
28 26   0.126865 0.152043 
28 27   0.736167 0.0276498 
28 28   0.310953 0.926084 
28 29   0.21128 0.962859 
29 0   0.361217 0.409131 
29 1   0.787774 0.789819 
29 2   0.755119 0.343181 
29 3   0.151036 0.748131 
29 4   0.281594 0.52504 
29 5   0.729911 0.0169378 
29 6   0.435987 0.357006 
29 7   0.653432 0.328318 
29 8   0.939207 0.522843 
29 9   0.833033 0.705344 
29 10   0.382366 0.788476 
29 11   0.169469 0.325632 
29 12   0.99649 0.927671 
29 13   0.885067 0.509445 
29 14   0.54677 0.772973 
29 15   17.3563 20.4541 
29 16   17.0423 20.2333 
29 17   17.2744 20.221 
29 18   17.0814 20.2303 
29 19   17.2773 20.0571 
29 20   17.2495 20.1967 
29 21   17.029 20.0993 
29 22   17.2206 20.1701 
29 23   17.122 20.4642 
29 24   17.1094 20.282 
29 25   17.1178 20.1168 
29 26   0.856014 0.240669 
29 27   0.569933 0.53032 
29 28   0.869381 0.686117 
29 29   0.457778 0.00881985 
